description,category
Zomato dinner,Food
Domino's pizza,Food
Uber ride,Transport
Ola to work,Transport
Monthly Netflix,Entertainment
Hotstar subscription,Entertainment
Mobile recharge,Utilities
Electricity bill,Utilities
Medicine purchase,Health
Doctor appointment,Health
Gym membership,Fitness
Protein powder,Fitness
Book purchase,Education
Udemy course,Education
Flight ticket,Travel
Hotel booking,Travel
Movie ticket,Entertainment
Bus fare,Transport
Lunch at McDonalds,Food
Taxi to airport,Transport
